Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-08 00:30:00-05:00,745.5,746.5,745.5,746.5,7,0,0
2022-12-08 00:35:00-05:00,746.0,746.0,745.75,746.0,6,0,0
2022-12-08 00:40:00-05:00,745.75,745.75,745.75,745.75,9,0,0
2022-12-08 00:45:00-05:00,745.5,745.5,745.25,745.5,12,0,0
2022-12-08 00:50:00-05:00,745.0,745.25,745.0,745.25,15,0,0
2022-12-08 00:55:00-05:00,745.25,745.25,744.25,744.5,39,0,0
2022-12-08 01:00:00-05:00,744.25,746.0,744.25,745.25,78,0,0
2022-12-08 01:05:00-05:00,745.25,746.25,745.25,745.5,84,0,0
2022-12-08 01:10:00-05:00,745.25,745.25,745.0,745.25,11,0,0
2022-12-08 01:20:00-05:00,745.25,745.25,745.25,745.25,1,0,0
2022-12-08 01:25:00-05:00,745.5,745.75,745.25,745.25,55,0,0
2022-12-08 01:30:00-05:00,745.5,745.75,745.25,745.25,24,0,0
2022-12-08 01:35:00-05:00,745.5,745.5,745.5,745.5,1,0,0
2022-12-08 01:40:00-05:00,745.75,745.75,745.25,745.5,19,0,0
2022-12-08 01:45:00-05:00,745.75,747.0,745.75,746.75,24,0,0
2022-12-08 01:50:00-05:00,747.5,748.5,747.5,748.0,49,0,0
2022-12-08 01:55:00-05:00,747.5,747.5,747.0,747.5,10,0,0
2022-12-08 02:00:00-05:00,747.75,748.5,747.25,748.5,57,0,0
2022-12-08 02:05:00-05:00,748.25,748.25,747.75,747.75,4,0,0
2022-12-08 02:10:00-05:00,748.0,748.0,747.5,747.5,5,0,0
2022-12-08 02:15:00-05:00,747.75,747.75,746.75,746.75,29,0,0
2022-12-08 02:20:00-05:00,746.75,747.0,746.25,747.0,12,0,0
2022-12-08 02:25:00-05:00,747.25,747.25,747.0,747.0,4,0,0
2022-12-08 02:30:00-05:00,747.25,747.75,747.25,747.5,10,0,0
2022-12-08 02:35:00-05:00,747.5,748.0,747.25,748.0,22,0,0
2022-12-08 02:45:00-05:00,747.75,747.75,747.75,747.75,5,0,0
2022-12-08 02:50:00-05:00,747.5,747.5,747.25,747.25,9,0,0
2022-12-08 02:55:00-05:00,747.5,747.5,747.0,747.0,3,0,0
2022-12-08 03:00:00-05:00,747.0,747.0,746.75,747.0,9,0,0
2022-12-08 03:05:00-05:00,746.0,746.75,746.0,746.5,42,0,0
2022-12-08 03:10:00-05:00,746.25,746.5,746.0,746.5,41,0,0
2022-12-08 03:15:00-05:00,746.5,746.5,746.25,746.25,4,0,0
2022-12-08 03:20:00-05:00,746.25,746.25,745.25,745.75,36,0,0
2022-12-08 03:25:00-05:00,746.0,749.25,746.0,748.75,231,0,0
2022-12-08 03:30:00-05:00,748.75,748.75,748.0,748.25,32,0,0
2022-12-08 03:35:00-05:00,748.5,748.5,748.25,748.25,2,0,0
2022-12-08 03:40:00-05:00,748.5,749.0,748.5,748.5,20,0,0
2022-12-08 03:45:00-05:00,748.75,750.0,748.5,749.5,112,0,0
2022-12-08 03:55:00-05:00,749.75,752.75,749.5,752.5,274,0,0
2022-12-08 04:00:00-05:00,752.5,754.5,752.0,752.25,172,0,0
2022-12-08 04:05:00-05:00,752.0,752.5,751.5,751.5,47,0,0
2022-12-08 04:10:00-05:00,752.0,753.75,752.0,753.0,79,0,0
2022-12-08 04:15:00-05:00,752.25,754.0,752.25,753.5,115,0,0
2022-12-08 04:20:00-05:00,753.25,754.5,752.75,752.75,133,0,0
2022-12-08 04:25:00-05:00,752.25,752.25,751.5,751.5,33,0,0
2022-12-08 04:30:00-05:00,752.0,752.0,751.25,751.25,28,0,0
2022-12-08 04:35:00-05:00,751.25,751.25,750.25,750.25,19,0,0
2022-12-08 04:40:00-05:00,750.25,750.5,749.5,750.25,36,0,0
2022-12-08 04:45:00-05:00,750.0,750.5,749.5,749.5,39,0,0
2022-12-08 04:50:00-05:00,749.5,751.25,749.5,751.0,87,0,0
2022-12-08 04:55:00-05:00,751.25,751.75,750.5,751.75,15,0,0
2022-12-08 05:00:00-05:00,751.75,751.75,751.0,751.5,14,0,0
2022-12-08 05:05:00-05:00,751.75,752.0,750.75,750.75,6,0,0
2022-12-08 05:10:00-05:00,751.0,751.0,751.0,751.0,1,0,0
2022-12-08 05:15:00-05:00,750.5,751.25,750.5,751.0,9,0,0
2022-12-08 05:20:00-05:00,751.0,751.0,751.0,751.0,5,0,0
2022-12-08 05:25:00-05:00,750.75,752.25,750.75,752.25,13,0,0
2022-12-08 05:30:00-05:00,752.0,752.25,750.75,751.75,16,0,0
2022-12-08 05:35:00-05:00,751.25,752.0,751.25,752.0,29,0,0
2022-12-08 05:40:00-05:00,752.25,752.75,751.75,752.25,85,0,0
2022-12-08 05:45:00-05:00,752.5,752.75,752.0,752.0,19,0,0
2022-12-08 05:50:00-05:00,752.5,753.0,752.0,752.25,44,0,0
2022-12-08 05:55:00-05:00,752.5,754.0,751.75,754.0,206,0,0
2022-12-08 06:00:00-05:00,754.0,754.0,753.0,754.0,106,0,0
2022-12-08 06:05:00-05:00,754.25,754.25,752.75,752.75,30,0,0
2022-12-08 06:10:00-05:00,753.25,753.5,752.5,753.5,37,0,0
2022-12-08 06:15:00-05:00,753.25,753.25,752.25,753.25,22,0,0
2022-12-08 06:20:00-05:00,753.25,753.25,752.0,752.0,13,0,0
2022-12-08 06:25:00-05:00,752.5,753.5,752.5,752.75,57,0,0
2022-12-08 06:30:00-05:00,752.75,753.25,752.0,752.0,33,0,0
2022-12-08 06:35:00-05:00,752.5,753.0,752.25,752.75,29,0,0
2022-12-08 06:40:00-05:00,753.0,753.0,752.0,752.5,18,0,0
2022-12-08 06:45:00-05:00,752.75,752.75,752.25,752.5,4,0,0
2022-12-08 06:50:00-05:00,752.75,753.0,752.5,752.5,9,0,0
2022-12-08 06:55:00-05:00,752.5,752.75,752.0,752.75,11,0,0
2022-12-08 07:00:00-05:00,753.0,754.5,752.25,752.25,61,0,0
2022-12-08 07:05:00-05:00,752.5,752.5,750.5,751.0,54,0,0
2022-12-08 07:10:00-05:00,751.0,751.0,750.75,751.0,19,0,0
2022-12-08 07:15:00-05:00,751.25,751.5,750.5,751.25,46,0,0
2022-12-08 07:20:00-05:00,751.5,751.5,751.0,751.0,7,0,0
2022-12-08 07:25:00-05:00,751.75,751.75,751.75,751.75,2,0,0
2022-12-08 07:30:00-05:00,751.5,752.25,751.0,752.25,87,0,0
2022-12-08 07:35:00-05:00,752.25,752.25,751.0,751.0,19,0,0
2022-12-08 07:40:00-05:00,751.0,751.0,750.5,750.75,19,0,0
2022-12-08 07:45:00-05:00,750.75,751.25,750.75,751.0,17,0,0
2022-12-08 07:50:00-05:00,751.5,751.5,750.75,751.0,18,0,0
2022-12-08 07:55:00-05:00,750.5,751.0,750.5,750.75,21,0,0
2022-12-08 08:00:00-05:00,751.0,751.75,751.0,751.25,36,0,0
2022-12-08 08:05:00-05:00,751.0,752.25,750.75,752.25,46,0,0
2022-12-08 08:10:00-05:00,752.25,752.75,751.5,752.5,121,0,0
2022-12-08 08:15:00-05:00,752.0,753.0,752.0,752.5,36,0,0
2022-12-08 08:20:00-05:00,752.75,754.0,752.75,754.0,58,0,0
2022-12-08 08:25:00-05:00,753.75,754.25,751.75,751.75,103,0,0
2022-12-08 08:30:00-05:00,752.0,752.0,750.75,751.0,72,0,0
2022-12-08 08:35:00-05:00,751.0,754.25,751.0,753.75,160,0,0
2022-12-08 08:40:00-05:00,753.75,755.25,753.25,754.5,264,0,0
2022-12-08 09:30:00-05:00,754.0,754.0,747.0,747.5,2753,0,0
2022-12-08 09:35:00-05:00,747.75,754.5,747.75,754.25,1733,0,0
2022-12-08 09:40:00-05:00,754.5,755.5,749.0,751.25,1540,0,0
2022-12-08 09:45:00-05:00,751.0,752.0,746.5,746.5,713,0,0
2022-12-08 09:50:00-05:00,746.5,748.75,744.5,745.25,1027,0,0
2022-12-08 09:55:00-05:00,745.5,747.25,744.5,746.75,702,0,0
2022-12-08 10:00:00-05:00,746.5,748.0,745.75,746.0,412,0,0
2022-12-08 10:05:00-05:00,746.0,746.5,741.0,743.25,1002,0,0
2022-12-08 10:10:00-05:00,743.0,745.0,742.25,744.5,864,0,0
2022-12-08 10:15:00-05:00,744.75,747.75,744.5,747.0,976,0,0
2022-12-08 10:20:00-05:00,746.75,748.0,745.5,746.0,312,0,0
2022-12-08 10:25:00-05:00,746.0,747.0,745.25,745.75,433,0,0
2022-12-08 10:30:00-05:00,746.0,746.25,742.0,743.75,631,0,0
2022-12-08 10:35:00-05:00,743.75,744.75,743.25,743.25,412,0,0
2022-12-08 10:40:00-05:00,743.5,743.5,739.25,740.25,880,0,0
2022-12-08 10:45:00-05:00,740.25,742.0,740.0,740.5,444,0,0
2022-12-08 10:50:00-05:00,740.25,740.5,737.5,739.0,757,0,0
2022-12-08 10:55:00-05:00,739.0,741.25,738.5,741.25,534,0,0
2022-12-08 11:00:00-05:00,741.25,742.5,740.75,741.25,525,0,0
